연번,오름명,행정시,소재지,비고,표고,면적,형태,정상_경도,정상_위도,카카오맵_url,난이도,거리_km,상행시간,노면,주차,화장실,등산로 정보,추천시기,참고글,운영시간 및 입장료,입구_경도,입구_위도
139,모슬봉,서귀포시,제주특별자치도 서귀포시 대정읍 상모리 3540-2,131,180.5,453030,원추형,126.2586578,33.23873924,http://place.map.kakao.com/7876363,쉬움,0.5,13분,,소규모 주차 가능,간이 화장실,있음,,"정상탐방불가(군사기지)
이용수칙
- 군사기지 및 군사시설 보호법 제 9조(보호 구역에서의 금지행위 등) 에 의거 드론, 군사시설 촬영 및 인터넷(SNS) 게시 금지
- 지정된 길만 이용 자연훼손, 쓰레기 투기 금지
- 안전사고 발생 시 즉시 신고","시범운영(2025년 2월부터)
매주 토, 일 09:00 ~ 15:00",,
140,모지오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산22,86,305.8,535643,말굽형(북동향),126.7681385,33.39361693,http://place.map.kakao.com/10328747,,,29분,,없음,없음,있음,,,,,
141,묘산봉,제주시,제주특별자치도 제주시 구좌읍 김녕리 2723,81,116.3,157609,말굽형(남향),126.7446789,33.54366565,http://place.map.kakao.com/10328462,,,15분,,없음,없음,있음 ,,,,,
142,무악(개오름 안덕),서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산12,126,496.1,314656,말굽형(남향),126.3692336,33.3159864,http://place.map.kakao.com/237412511,쉬움,0.4,20분,,소규모 주차가능,없음,있음,,"정비 잘 되어있지 않음
지나간 흔적은 뚜렷함
입구 반대쪽으로 하산 가능하나 길 험함 정상원점회귀 추천",,,
143,문도지오름,제주시,제주특별자치도 제주시 한림읍 금악리 3444,55,260.3,106436,말굽형(동향),126.2946137,33.32625021,http://place.map.kakao.com/7875147,,,5분,,소규모 주차 가능,없음,없음,,탐방 불가(사유지) 오름 출입하면 고발한다는 글을 적어놓음,,,
144,문석이오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산234,67,291.8,228379,복합형,126.7945242,33.44642856,http://place.map.kakao.com/25237382,,,,,없음,없음,없음,,문처럼 생긴 돌이 있는 오름,,,
145,물메(수산봉),제주시,제주특별자치도 제주시 애월읍 수산리 산1-1,92,121.5,1932024,원추형(분화구흔적),33.4726,126.387,https://place.map.kakao.com/7964847,보통,2.1,37분,토사/콘크리트,소규모 주차 가능,없음,있음,"봄, 여름",그네 포토존추천,,,
146,물영아리,서귀포시,제주특별자치도 서귀포시 남원읍 수망리 산189,128,508,717013,원형(화구호),126.6920637,33.36839465,http://place.map.kakao.com/7873185,쉬움,1.53,30분,,전용 주차장 (무료),주차장 화장실,있음,,"분화구에 습지가 형성된 람사르 습지. 다양한 습지식물과 철새 관찰 가능. 비올때 추천.
둘레길 풍경 예쁨(1시간)",,,
147,물오름,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-4,114,838.6,346856,말굽형(남동향),126.6232529,33.38429963,http://place.map.kakao.com/11289720,,,11분,,없음,없음,없음,,출입 제한 탐방 불가,,,
148,물장오리,제주시,제주특별자치도 제주시 봉개동 산78-2,120,937.2,628987,원형(화구호),126.6067945,33.40625511,http://place.map.kakao.com/10424248,,,,,,,,,"탐방 불가 (한라산 국립공원)
대한민국 천연기념물
물장오리는 한라산 국립공원 지대 내에 위치하는데다 오름 자체가 절대보전지역으로 지정되어 출입이 엄격히 제한되고 있다.",,,
149,물찻,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,167,717.2,744401,복합형(화구호),126.6528746,33.39484743,http://place.map.kakao.com/10417720,보통,0.78,30분,토사,사려니 숲길 주차장 이용,입구에 있음,없음,"봄, 가을","출입제한 확인 필요, 자연 휴식년제가 있음
2008년부터 통제함 현재는 행사할 때 가끔 개방 ",,,
150,"미악산(쌀오름, 솔오름)",서귀포시,제주특별자치도 서귀포시 동홍동 산7,113,567.5,424611,말굽형(남향),126.5544916,33.30060832,http://place.map.kakao.com/25302677,,1.5,40분,,있음,,,,"지름길 있음
제주도 서귀포시 토평동 16-3 치고 가면 금방 정상에 오름. 다만 멋진 숲길을 보고 싶다면 코스대로 등산하는거 추천",,,
152,민머루오름,서귀포시,제주특별자치도 서귀포시 중문동 산1-3,82,882.7,387181,원추형,126.4555505,33.32535308,http://place.map.kakao.com/7883453,,,,,,,,,,,,
153,민오름(수망),서귀포시,제주특별자치도 서귀포시 남원읍 수망리 158,97,446.8,371170,말굽형(동향),126.6770306,33.35018612,http://place.map.kakao.com/10412117,,,20분,야자매트/계단,있음,주차장 간이화장실,,,"옥귀마테마타운 나오면 쭉 직진, 막다른 길이 나오면 오른쪽으로 쭉 직진",,,
154,민오름(송당),제주시,제주특별자치도 제주시 구좌읍 송당리 산156,102,362,412245,말굽형(북동향),126.762803,33.43632531,http://place.map.kakao.com/8316763,,,,,,,있음,,나무 없이 풀만있는 민둥산이라는 뜻,,,
155,민오름(오라이동),제주시,제주특별자치도 제주시 오라이동 산28,117,251.7,474001,말굽형(북동향),126.5070916,33.47572799,http://place.map.kakao.com/8316764,쉬움,4.89,24분,나무데크 계단,소규모 주차 가능,있음 (등산로 진입전),있음,사계절,"도심 접근성 좋음, 오르는 길 다양",,,
156,민오름(조천),제주시,제주특별자치도 제주시 조천읍 선흘리 산141,118,518.3,400724,복합형,126.6951111,33.4484194,http://place.map.kakao.com/7881286,,,,,선흘리 1911 찍고 공터에 주차,,,,입구 찾기 쉽지않음.,,,
157,민오름(무녜오름),제주시,제주특별자치도 제주시 봉개동 산64,136,651,518910,복합형,126.6370805,33.43725543,http://place.map.kakao.com/7879348,쉬움,1.16,21분,,있음,공용화장실 있음,없음,"봄 (초록), 가을 (황금빛)",나무 없는 초원 오름,,,
158,바농오름,제주시,제주특별자치도 제주시 조천읍 교래리 산108,142,552.1,473953,복합형,126.6538027,33.45377197,http://place.map.kakao.com/25240627,쉬움,1.02,19분,,입구앞 주차가능(공터),없음,있음,"봄, 가을",바늘처럼 뾰족한 형태. 독특한 외관,,,
159,큰바리메,제주시,제주특별자치도 제주시 애월읍 어음리 산21,213,763.4,1288365,원형,126.3880198,33.37713081,http://place.map.kakao.com/7888119,보통,2.64,30분,토사,주차장 있음,주차장 화장실 이용,있음,"봄, 가을",,,,
160,밝은오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 1138,40,290,54945,말굽형(북향),126.3414721,33.30124982,http://place.map.kakao.com/7888984,쉬움,0.3,5분,,입구앞 1대 주차가능,없음,있음,,,,,
161,밝은오름,제주시,제주특별자치도 제주시 한림읍 금악리 18-1,15,379.9,15698,말굽형(북향),126.3359411,33.35113777,http://place.map.kakao.com/25243139,,,18분,,없음,없음,없음,,출입 제한 : 등산로 찾기 어려움,,,
162,밝은오름,제주시,제주특별자치도 제주시 한림읍 상명리 1696,43,182.5,78972,말굽형(북향),126.2660258,33.36087092,http://place.map.kakao.com/11070664,,,,,없음,없음,없음,,,,,
163,밝은오름,제주시,제주특별자치도 제주시 해안동 355-21,37,337,33180,말굽형(남향),126.4647283,33.44015025,http://place.map.kakao.com/8385072,,,,,,,,,,,,
164,밧돌오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산66-1,103,352.8,372226,말굽형(북동향),126.76007,33.46071398,http://place.map.kakao.com/7896521,보통,3.21,57분,,없음,없음,있음,사계절,,,,
165,밧세미,제주시,제주특별자치도 제주시 봉개동 산3,92,391.7,114322,말굽형(북동향),126.6030946,33.4652579,http://place.map.kakao.com/25244025,쉬움,0.29,30분,토사,안세미오름 주차장 이용(공터),없음,있음,"봄, 여름",,,,
166,방애오름(서귀포),서귀포시,제주특별자치도 서귀포시 동홍동 산1,129,1699.3,395807,원추형,126.5275358,33.3542695,http://place.map.kakao.com/7890028,,,54분,,없음,없음,없음,없음,출입 제한 : 탐방 불가,,,
167,방애오름(제주시),제주시,제주특별자치도 제주시 조천읍 교래리 산45,48,453.4,475019,원형,126.6845195,33.44392454,http://place.map.kakao.com/10810149,쉬움,1.19,21분,,없음 도로변길주차,없음,있음,"봄, 가을",,,,
169,방주오름,제주시,제주특별자치도 제주시 한림읍 명월리 679,8,163.3,9975,원추형,126.28296,33.37903424,http://place.map.kakao.com/10393740,쉬움,0.1,1분,,없음,없음,있음,,도로가 오름 정상임. 등산로 탐방로 없음,,,
170,백약이오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산1,132,356.9,581463,원형,126.7897582,33.43680941,http://place.map.kakao.com/25248461,보통,2.11,37분,,"1. 입구주차장 주차비 있음 (2시간 3800원)
2. 공영주차장 도보 10분 (송당리 2298-3)",없음,있음,"여름(초록), 봄",약초가 풀부. 힐링산책. 여름에는 초록 배경으로 인생샷 명소. 웨딩 촬영지,,,
171,번널오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산10,62,272.3,129713,원추형(침식),126.7459055,33.37431935,http://place.map.kakao.com/7895084,쉬움,1.01,18분,,입구앞 1대정도 주차 가능하나 골목 진입전 공터에 주차 추천,없음,있음,"봄, 가을",넓게 펼쳐진 형태. 시원한 조망,,,
172,법정악,서귀포시,제주특별자치도 서귀포시 하원동 산1-1,90,760.1,97901,원추형,126.4696061,33.31361084,http://place.map.kakao.com/7901044,쉬움,0.7,12분,나무계단,"자연휴양림 주차(유료)
경차 : 1,000원
중, 소형 : 2,000원
대형 : 3,000원",등산로 입구에 있음,있음,"봄, 가을","운영시간 매일 09:00 ~ 17:00
입장료
어른 : 1,000원
청소년 : 600원
어린이 : 300원",`,,
173,베두리오름(삼무공원),제주시,제주특별자치도 제주시 연동 270-5,10,85,21438,말굽형(남향),126.4917765,33.49201112,http://place.map.kakao.com/17807680,,,,,없음,없음,있음,,,,,
174,베릿네오름,서귀포시,제주특별자치도 서귀포시 중문동 2284,61,101.2,159357,말굽형(북향),126.4215055,33.24733194,http://place.map.kakao.com/17809089,,1.4,20분,,없음,없음,없음,,,,,
175,별도봉,제주시,제주특별자치도 제주시 화북일동 4472,101,136,242535,원추형,,,,,,,,,,,,,,,
176,병곳오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산8,113,288.1,482903,말굽형(북동향),126.7483755,33.367042,http://place.map.kakao.com/11302272,쉬움,0.59,11분,,소규모 주차 가능,없음,있음,"봄, 가을",,,,
177,보롬이(대정),서귀포시,제주특별자치도 서귀포시 대정읍 무릉1리 3526-1,14,49,15717,원추형,126.1923061,33.27052506,http://place.map.kakao.com/11299651,쉬움,0.3,10분,,없음,없음,있음,,"뚜렷한 등산로 없음
정상뷰없음, 길정비 안되어있음 잡풀없음",,,
178,보름이(하논),서귀포시,제주특별자치도 서귀포시 서홍동 1212,30,85.4,109615,원추형,126.5446557,33.25031966,http://place.map.kakao.com/17789092,쉬움,,,,없음,없음,없음,,탐방불가 (사유지),,,
179,보리악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,130,739.6,442410,원추형,126.6011192,33.34703073,http://place.map.kakao.com/25253060,,,,,없음,없음,없음,,,,,
180,본지오름,서귀포시,제주특별자치도 서귀포시 성산읍 삼달리 2104-1,32,151.9,120987,말굽형(남향),126.8222608,33.38710279,http://place.map.kakao.com/25254223,,,10분,,없음,없음,있음,,본래의 터라는 뜻,,,
181,볼레오름,서귀포시,제주특별자치도 서귀포시 하원동 산1-1,104,1374.2,453146,말굽형(북서향),126.484936,33.35310292,http://place.map.kakao.com/7901198,,,,,없음,없음,없음,,탐방불가,,,
182,봉아오름,제주시,제주특별자치도 제주시 봉개동 1811-1,36,165.5,57506,말굽형(남서향),126.5925188,33.4942839,http://place.map.kakao.com/11054575,,,,,없음,없음,없음,,등산로 없음,,,
183,부대악,제주시,제주특별자치도 제주시 조천읍 선흘리 산103-1,109,468.8,455827,말굽형(동북향),126.7085198,33.44641942,http://place.map.kakao.com/10471809,,,30분,,없음,없음,있음,,부대가 주둔했던 오름,,,
184,부소악,제주시,제주특별자치도 제주시 조천읍 교래리 산2,129,469.2,423459,말굽형(서남향),126.7177527,33.4421915,http://place.map.kakao.com/8363069,,,33분,,없음,없음,없음,,,,,
185,북돌아진오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산41,118,643,338981,말굽형(북서향),126.3738009,33.3563546,http://place.map.kakao.com/7906497,,3.48,20분,콘크리트/ 토사,소규모 주차 가능,없음,있음,"봄, 가을",,,,
186,북망산(알오름),서귀포시,제주특별자치도 서귀포시 표선면 토산리 산11,42,141.9,83414,원추형,126.7777084,33.32789448,http://place.map.kakao.com/11104042,쉬움,1.07,19분,,길가 주차,없음,없음,,,,,
187,북오름(안덕),서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산93,84,314.3,121783,말굽형(남향),126.3320722,33.30628923,http://place.map.kakao.com/10447654,,,6분,,없음,없음,있음,,,,,
188,북오름(덕천),제주시,제주특별자치도 제주시 구좌읍 덕천리 산69,86,304.6,168850,말굽형(북향),126.740167,33.48729193,http://place.map.kakao.com/7912662,쉬움,1.11,20분,,없음,없음,있음,여름,,,,
190,붉은오름,서귀포시,제주특별자치도 서귀포시 성산읍 고성리 62-4,28,33,5343,원추형,,,,,,,,,,,,,,,
191,붉은오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산158,129,569,585044,원형,126.6795385,33.39985819,http://place.map.kakao.com/10455841,쉬움,1.7,30분,데크계단/ 야자수매트,"자연휴양림 주차(유료)
경차 : 1,000원
중, 소형 : 2,000원
대형 : 3,000원",휴양림 내에 있음,있음,,"운영시간 매일 09:00 ~ 17:00
입장료
어른 : 1,000원
청소년 : 600원
어린이 : 300원",,,
192,붉은오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-2,136,1061,411978,말굽형(북서향),126.4589778,33.37533619,http://place.map.kakao.com/25259581,,,,,,,,,탐방불가,,,
193,비양봉,제주시,제주특별자치도 제주시 한림읍 협재리 산100-1,104,114.1,260428,복합형,126.226973,33.40945313,http://place.map.kakao.com/7915415,,,20분,계단,한림항 주차장,있음,있음,,"계단으로 짧고 굵은 등반 후 멋진 풍경. 해안, 등대",,,
194,비치미,제주시,제주특별자치도 제주시 구좌읍 송당리 산255-1,109,344.1,388793,말굽형(북동향),126.7632386,33.42755797,http://place.map.kakao.com/8379747,,3.65,10분,,없음,없음,있음,"봄, 가을",,,,
195,빈네오름,제주시,제주특별자치도 제주시 애월읍 봉성리 52-16,93,658.6,359116,말굽형(남서향),126.3941615,33.34903089,http://place.map.kakao.com/7920053,쉬움,0.84,30분,,1대가능,없음,있음,"봄, 여름",등산로 찾기 어려움,,,
196,사라봉,제주시,제주특별자치도 제주시 건입동 387-1,98,148.2,233471,말굽형(북서향),126.5708756,33.37193619,http://place.map.kakao.com/25262407,쉬움,1.02,20분,토사/ 콘크리트,,"있음(입구, 정상, 진입로)",있음,오후 ~ 일몰,"제주시내 전망, 일출, 산책, 접근성 좋음",,,
197,사라오름,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산2-1,150,1324.7,440686,원형,126.5708756,33.37193619,http://place.map.kakao.com/25262407,어려움,,120분,,"1. 성판악 주차장 (유료) - 주말은 7시전 만차
2. 대안 제주 국제대학교 환승주차장(추천) - 영평동 2237-6",있음,있음,,,,,
198,사려니,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,98,523,260107,말굽형(북동),126.6458301,33.34017512,http://place.map.kakao.com/7916414,,,,,,,,,"해당 사이트 참고. 예약하고 가야됨. 항시 개방도 아니라 사이트 봐야 한다. 
https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID05030007","탐방안내 : 064-730-7272
오시는길 : 제주특별자치도 서귀포시 남원읍 서성로651번길 235(주차장)
인터넷 선착순 예약 정원 : 400명
운영시간 : 09:00 ~ 17:00 (17시 전까지 하산완료)
숲해설 제공시간 : 오전9시, 오후1시",,
199,사려니 남서쪽,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,73,473,77637,원추형,126.6394809,33.34061668,http://place.map.kakao.com/7916415,,,,,,,,,,,,
200,사제비동산,제주시,제주특별자치도 제주시 애월읍 광령리 산183-6,49,1423.8,95420,말굽형(서향),126.4973852,33.37480791,http://place.map.kakao.com/7914532,,,,,,,,,탐방불가,,,
201,산굼부리,제주시,제주특별자치도 제주시 조천읍 교래리 산38,32,437.4,574697,원형,126.693832,33.43257409,http://place.map.kakao.com/21348535,,,24분,,전용 주차장(무료),있음,있음,,,"3~6월/9~10월 : 09:00~18:40 (입장마감 18:00)
7~8월/11~2월 : 09:00 ~ 17:40 (입장마감 17:00)
입장료
성인 : 7,000원
만4세이상 ~ 청소년 : 6,000원
만 65세이상, 도민, 국가유공자, 장애인 : 5,000원",,
202,산방산,서귀포시,제주특별자치도 서귀포시 안덕면 사계리 산16,345,395.2,988332,원추형(종모양),,,https://place.map.kakao.com/8386141,보통,1.17,30분,,공영주차장 (유료),있음,없음,"봄 (유채꽃), 가을","출입제한: 삼방굴사까지만 탐방가능
설문대할망이 한라산 꼭대기를 뽑아 던져놓았다는 산방산 · 명승 제77호 · 천연기념물 제376호 · 올레10코스","유료,산방굴사 입장료 유료( 어른 1.000원, 청소년.어린이 500원 , 장애인 경로인 무료)
이용 시간
평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",,
203,산세미오름,제주시,제주특별자치도 제주시 애월읍 고성리 산127,102,651.6,382100,말굽형(북향),126.4341059,33.40869729,http://place.map.kakao.com/10440260,보통,2.94,30분,토사,없음 길가주차,없음,있음,"봄, 여름",,,,
204,살핀오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-2,76,1076.3,112029,원추형,126.462169,33.36788565,http://place.map.kakao.com/25267011,,,,,,,,,,출입제한 : 탐방불가,,
206,삼매봉,서귀포시,제주특별자치도 서귀포시 서홍동 809-1,104,153.6,334070,복합형,,,,쉬움,1.55,30분,,외돌개 화장실 이용,주차장 화장실 이용,있음,봄(매화철),,,,
207,삼형제(샛오름)남쪽Ⅰ,서귀포시,제주특별자치도 서귀포시 색달동 산1-3,123,1014,72363,원추형,126.4476575,33.35362882,http://place.map.kakao.com/7926168,,,,,없음(1100고지 주차장 이용),없음,있음,,,,,
208,삼형제(샛오름)남쪽Ⅱ,서귀포시,제주특별자치도 서귀포시 색달동 산1-3,45,1025.6,87416,원추형,126.4505916,33.3544641,http://place.map.kakao.com/7926152,보통,2.44,,토사,전용 주차장 (무료),없음,없음,"봄, 가을",,,,
209,삼형제말젯오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산1,123,1075,340627,말굽형(북서향),126.4445282,33.35816348,http://place.map.kakao.com/7931117,,,17분,,없음(1100고지 주차장 이용),없음,있음,,,,,
210,삼형제샛오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-2,49,1112.8,412642,말굽형(북서향),126.4524915,33.35816909,http://place.map.kakao.com/8389202,,,31분,,없음(1100고지 주차장 이용),없음,있음,,,,,
211,삼형제큰오름,제주시,제주특별자치도 제주시 애월읍 광령리 산183-2,118,1142.5,367384,말굽형(북서향),126.4603308,33.357749,http://place.map.kakao.com/7923716,,,3분,,없음(1100고지 주차장 이용),없음,있음,,,,,
212,상여오름,제주시,제주특별자치도 제주시 연동 산72,60,245,162799,원추형,126.4916998,33.46571673,http://place.map.kakao.com/7925330,,,,,없음,없음,있음,,,,,
213,새끼오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 3196-1,51,301.2,114795,말굽형(서향),126.7510302,33.39660871,http://place.map.kakao.com/8387235,,,21분,,공터 주차,없음,있음,,,,,
214,새별오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산59-8,119,519.3,522216,복합형,126.3577307,33.36627759,http://place.map.kakao.com/25274725,보통,1.82,32분,,전용 주차장 (무료),주차장 화장실 이용,있음,"가을, 정월대보름",새벽별처럼 빛나는 오름. 들불 축제 장소로 유명. 경사가 가파름 ,,,
215,새신오름,제주시,제주특별자치도 제주시 한경면 청수리 3369,41,141.2,214735,원형,126.2376749,33.29776949,http://place.map.kakao.com/11117069,쉬움,0.25,4분,토사,없음,없음,없음,,,,,
216,샛개오리,제주시,제주특별자치도 제주시 봉개동 산78-1,58,658.3,73832,원추형,126.6146526,33.42989739,http://place.map.kakao.com/17782147,쉬움,0.65,40분,시멘트,소규모 주차 가능(공터),없음,있음,,,,,
217,샛궤펜이,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,37,757,48413,원형,126.6338666,33.39412471,http://place.map.kakao.com/11267601,,,,,,,,,단독 진입로가 없고 수풀이 우거져 있어 실제 탐방객들은 516도로(성판악 인근)나 사려니숲길 주차장에서 출발,,,
218,샛오름,제주시,제주특별자치도 제주시 애월읍 곽지리 산15,60,100,155467,말굽형(남서향),126.317176,33.4483468,http://place.map.kakao.com/8229310,쉬움,1.04,19분,흙길,없음,없음,있음,사계절,,,,
219,생기악,서귀포시,제주특별자치도 서귀포시 남원읍 신례리 산33-1,65,260,167924,말굽형(북서향),126.6425165,33.3056524,http://place.map.kakao.com/25278387,보통,2.11,30분,,없음,없음,있음,"봄, 가을",출입 제한 : 개인사유지,,,
